Latitude,Longitude,Risk_Rating
25.31678,92.047529,0.7827
25.325764,91.55,0.3074
25.325764,91.559951,0.1864
25.325764,91.569901,0.4362
25.325764,91.579852,0.2391
25.325764,91.589802,0.0866
25.325764,91.599753,0.2808
25.325764,91.609703,0.1998
25.325764,91.619654,0.2323
25.325764,91.629605,0.3765
25.325764,91.639555,0.1854
25.325764,91.649506,0.7818
25.325764,91.659456,0.2532
25.325764,91.669407,0.0972
25.325764,91.679357,0.0998
25.325764,91.689308,0.1243
25.325764,91.699259,0.5578
25.325764,91.709209,0.0895
25.325764,91.71916,0.1249
25.325764,91.72911,0.4263
25.325764,91.739061,0.4697
25.325764,91.749012,0.8188
25.325764,91.758962,0.202
25.325764,91.768913,0.2432
25.325764,91.778863,0.2894
25.325764,91.788814,0.2156
25.325764,91.798764,0.5942
25.325764,91.808715,0.8439
25.325764,91.818666,0.2771
25.325764,91.828616,0.2918
25.325764,91.838567,0.865
25.325764,91.848517,0.2524
25.325764,91.858468,0.7505
25.325764,91.868418,0.5242
25.325764,91.878369,0.0727
25.325764,91.88832,0.0654
25.325764,91.89827,0.4317
25.325764,91.908221,0.1017
25.325764,91.918171,0.488
25.325764,91.928122,0.742
25.325764,91.938072,0.8164
25.325764,91.948023,0.2653
25.325764,91.957974,0.0909
25.325764,91.967924,0.7687
25.325764,91.977875,0.8164
25.325764,91.987825,0.087
25.325764,91.997776,0.0945
25.325764,92.007726,0.2794
25.325764,92.017677,0.269
25.325764,92.027628,0.2907
25.325764,92.037578,0.3215
25.325764,92.047529,0.5521
25.334747,91.55,0.2213
25.334747,91.559951,0.3059
25.334747,91.569901,0.1017
25.334747,91.579852,0.1004
25.334747,91.589802,0.0946
25.334747,91.599753,0.2573
25.334747,91.609703,0.3203
25.334747,91.619654,0.2186
25.334747,91.629605,0.5199
25.334747,91.639555,0.7645
25.334747,91.649506,0.2857
25.334747,91.659456,0.187
25.334747,91.669407,0.2271
25.334747,91.679357,0.2423
25.334747,91.689308,0.1017
25.334747,91.699259,0.4985
25.334747,91.709209,0.4964
25.334747,91.71916,0.0989
25.334747,91.72911,0.0769
25.334747,91.739061,0.0888
25.334747,91.749012,0.5041
25.334747,91.758962,0.1524
25.334747,91.768913,0.798
25.334747,91.778863,0.7644
25.334747,91.788814,0.3126
25.334747,91.798764,0.5734
25.334747,91.808715,0.3274
25.334747,91.818666,0.8228
25.334747,91.828616,0.2441
25.334747,91.838567,0.2748
25.334747,91.848517,0.3059
25.334747,91.858468,0.3659
25.334747,91.868418,0.0908
25.334747,91.878369,0.7406
25.334747,91.88832,0.4273
25.334747,91.89827,0.1093
25.334747,91.908221,0.5551
25.334747,91.918171,0.8515
25.334747,91.928122,0.8454
25.334747,91.938072,0.8359
25.334747,91.948023,0.8539
25.334747,91.957974,0.2656
25.334747,91.967924,0.2797
25.334747,91.977875,0.8365
25.334747,91.987825,0.0854
25.334747,91.997776,0.087
25.334747,92.007726,0.3081
25.334747,92.017677,0.2982
25.334747,92.027628,0.3622
25.334747,92.037578,0.0936
25.334747,92.047529,0.2508
25.34373,91.55,0.2366
25.34373,91.559951,0.4338
25.34373,91.569901,0.1202
25.34373,91.579852,0.1264
25.34373,91.589802,0.1865
25.34373,91.599753,0.2649
25.34373,91.609703,0.2771
25.34373,91.619654,0.4554
25.34373,91.629605,0.2822
25.34373,91.639555,0.1904
25.34373,91.649506,0.3134
25.34373,91.659456,0.3009
25.34373,91.669407,0.28
25.34373,91.679357,0.1593
25.34373,91.689308,0.3275
25.34373,91.699259,0.2157
25.34373,91.709209,0.2246
25.34373,91.71916,0.2189
25.34373,91.72911,0.0899
25.34373,91.739061,0.2713
25.34373,91.749012,0.0794
25.34373,91.758962,0.1933
25.34373,91.768913,0.3298
25.34373,91.778863,0.2135
25.34373,91.788814,0.3777
25.34373,91.798764,0.344
25.34373,91.808715,0.3894
25.34373,91.818666,0.2556
25.34373,91.828616,0.2987
25.34373,91.838567,0.3194
25.34373,91.848517,0.1378
25.34373,91.858468,0.2844
25.34373,91.868418,0.2308
25.34373,91.878369,0.2268
25.34373,91.88832,0.7343
25.34373,91.89827,0.0803
25.34373,91.908221,0.849
25.34373,91.918171,0.7555
25.34373,91.928122,0.8083
25.34373,91.938072,0.8392
25.34373,91.948023,0.2143
25.34373,91.957974,0.7989
25.34373,91.967924,0.2283
25.34373,91.977875,0.8114
25.34373,91.987825,0.2929
25.34373,91.997776,0.2943
25.34373,92.007726,0.1683
25.34373,92.017677,0.497
25.34373,92.027628,0.4831
25.34373,92.037578,0.3512
25.34373,92.047529,0.4
25.352713,91.55,0.1652
25.352713,91.559951,0.1409
25.352713,91.569901,0.1966
25.352713,91.579852,0.2649
25.352713,91.589802,0.271
25.352713,91.599753,0.1144
25.352713,91.609703,0.1044
25.352713,91.619654,0.2347
25.352713,91.629605,0.2321
25.352713,91.639555,0.2233
25.352713,91.649506,0.7828
25.352713,91.659456,0.1429
25.352713,91.669407,0.2977
25.352713,91.679357,0.2323
25.352713,91.689308,0.2323
